flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,departure_hour,departure_time_band,duration_minutes,is_overnight,route_median_duration_minutes,duration_vs_route_median_minutes,is_duration_outlier,is_implausible_duration,airline_was_repaired,arrival_date_was_repaired,has_conflicting_source_record,is_anomaly,anomaly_reason
SJ010,SpiceJet,CCU,MAA,CCU - MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,2026-04-20,23,Late night (21-23),174,True,165.0,9,False,False,False,False,False,False,None
AI155,Air India,BOM,CCU,BOM - CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,2026-04-20,23,Late night (21-23),108,True,169.5,-62,False,False,False,False,False,False,None
UK094,Vistara,BOM,CCU,BOM - CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,2026-04-20,23,Late night (21-23),105,True,169.5,-64,False,False,False,False,False,False,None
AI245,Air India,BOM,CCU,BOM - CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,2026-04-20,23,Late night (21-23),156,True,169.5,-14,False,False,False,False,False,False,None
AI192,Air India,MAA,BOM,MAA - BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,2026-04-20,23,Late night (21-23),299,True,173.0,126,False,False,False,False,False,False,None
SJ158,SpiceJet,DEL,HYD,DEL - HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,2026-04-20,23,Late night (21-23),139,True,177.0,-38,False,False,False,False,False,False,None
6F196,IndiGo,CCU,MAA,CCU - MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,2026-04-20,23,Late night (21-23),103,True,165.0,-62,False,False,False,False,False,False,None
AI080,Air India,BOM,HYD,BOM - HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,2026-04-20,23,Late night (21-23),92,True,207.5,-116,False,False,False,False,False,False,None
6F025,IndiGo,BLR,BOM,BLR - BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,2026-04-20,23,Late night (21-23),55,False,140.5,-86,False,False,False,False,False,False,None
6F251,IndiGo,DEL,BLR,DEL - BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,2026-04-20,22,Late night (21-23),41,False,191.0,-150,False,False,True,False,False,False,None
AI137,Air India,BOM,DEL,BOM - DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,2026-04-20,22,Late night (21-23),148,True,157.0,-9,False,False,False,False,False,False,None
