route,source,destination,flights_operated,avg_duration_minutes,median_duration_minutes,overnight_flights,anomalies
BLR - BOM,BLR,BOM,60,147.7,140.5,7,0
BLR - CCU,BLR,CCU,21,128.5,97.0,4,0
BLR - DEL,BLR,DEL,19,156.9,125.0,1,0
BLR - HYD,BLR,HYD,19,155.7,167.0,3,0
BLR - MAA,BLR,MAA,16,187.3,219.0,2,0
BOM - BLR,BOM,BLR,23,176.5,170.0,1,0
BOM - CCU,BOM,CCU,90,169.5,169.5,16,0
BOM - DEL,BOM,DEL,39,153.8,157.0,3,0
BOM - HYD,BOM,HYD,26,180.8,207.5,4,0
BOM - MAA,BOM,MAA,27,183.4,180.0,5,0
CCU - BLR,CCU,BLR,19,174.4,167.0,3,0
CCU - BOM,CCU,BOM,33,164.0,174.0,1,0
CCU - DEL,CCU,DEL,72,153.6,139.5,11,0
CCU - HYD,CCU,HYD,21,152.2,150.0,1,0
CCU - MAA,CCU,MAA,24,171.3,165.0,3,0
DEL - BLR,DEL,BLR,29,170.0,191.0,3,1
DEL - BOM,DEL,BOM,28,178.1,176.0,5,0
DEL - CCU,DEL,CCU,26,151.7,144.0,3,0
DEL - HYD,DEL,HYD,54,174.8,177.0,6,0
DEL - MAA,DEL,MAA,23,178.8,184.0,4,0
HYD - BLR,HYD,BLR,26,162.8,136.0,2,0
HYD - BOM,HYD,BOM,27,155.5,150.0,3,1
HYD - CCU,HYD,CCU,26,167.2,177.0,2,0
HYD - DEL,HYD,DEL,42,185.4,196.5,9,0
HYD - MAA,HYD,MAA,57,152.8,141.0,5,0
MAA - BLR,MAA,BLR,65,172.8,177.0,8,0
MAA - BOM,MAA,BOM,21,176.8,173.0,4,0
MAA - CCU,MAA,CCU,24,158.5,132.5,1,0
MAA - DEL,MAA,DEL,26,156.0,175.5,2,0
MAA - HYD,MAA,HYD,21,160.0,164.0,0,0
