route,source,destination,flights_operated,avg_duration_minutes,overnight_flights,anomalies,bookings,revenue
BOM - CCU,BOM,CCU,90,169.5,16,0,87,700135.3
CCU - DEL,CCU,DEL,72,153.6,11,0,73,582851.37
MAA - BLR,MAA,BLR,65,172.8,8,0,64,492102.05
BLR - BOM,BLR,BOM,60,147.7,7,0,62,506069.04
HYD - MAA,HYD,MAA,57,152.8,5,0,57,438428.5
DEL - HYD,DEL,HYD,54,174.8,6,0,55,521798.78
HYD - DEL,HYD,DEL,42,185.4,9,0,41,305771.13
BOM - DEL,BOM,DEL,39,153.8,3,0,36,299355.97
CCU - BOM,CCU,BOM,33,164.0,1,0,34,150839.53
DEL - BLR,DEL,BLR,29,170.0,3,1,30,201095.92
DEL - BOM,DEL,BOM,28,178.1,5,0,29,191097.12
HYD - BOM,HYD,BOM,27,155.5,3,1,26,148759.86
BOM - MAA,BOM,MAA,27,183.4,5,0,28,185131.03
BOM - HYD,BOM,HYD,26,180.8,4,0,26,227516.0
MAA - DEL,MAA,DEL,26,156.0,2,0,24,128295.8
HYD - CCU,HYD,CCU,26,167.2,2,0,26,242911.11
DEL - CCU,DEL,CCU,26,151.7,3,0,24,233036.9
HYD - BLR,HYD,BLR,26,162.8,2,0,26,302331.68
MAA - CCU,MAA,CCU,24,158.5,1,0,24,178290.34
CCU - MAA,CCU,MAA,24,171.3,3,0,24,123193.32
BOM - BLR,BOM,BLR,23,176.5,1,0,24,145967.38
DEL - MAA,DEL,MAA,23,178.8,4,0,24,101351.18
BLR - CCU,BLR,CCU,21,128.5,4,0,22,128231.68
CCU - HYD,CCU,HYD,21,152.2,1,0,21,168389.53
MAA - BOM,MAA,BOM,21,176.8,4,0,21,138556.55
MAA - HYD,MAA,HYD,21,160.0,0,0,20,120344.43
BLR - HYD,BLR,HYD,19,155.7,3,0,19,110095.06
CCU - BLR,CCU,BLR,19,174.4,3,0,19,132450.75
BLR - DEL,BLR,DEL,19,156.9,1,0,17,89782.06
BLR - MAA,BLR,MAA,16,187.3,2,0,17,90963.61
